Client_Num,Card_Category,Annual_Fees,Week_Start_Date,Qtr,Total_Trans_Amt,Use Chip,Exp Type,Interest_Earned
708082083,Blue,200,1/1/2023,Q1,15149,Chip ,Travel,4393.21
708083283,Blue,445,1/1/2023,Q1,992,Swipe ,Entertainment,69.44
708084558,Blue,140,1/1/2023,Q1,1447,Chip ,Bills,202.58
708085458,Blue,250,1/1/2023,Q1,3940,Online ,Grocery,236.4
708086958,Blue,320,1/1/2023,Q1,4369,Swipe ,Fuel,1004.87
708095133,Blue,100,1/1/2023,Q1,1448,Swipe ,Bills,275.12
708098133,Blue,225,1/1/2023,Q1,1598,Swipe ,Bills,159.8
708099183,Blue,400,1/1/2023,Q1,2732,Swipe ,Grocery,409.8
708100533,Blue,200,1/1/2023,Q1,4943,Chip ,Food,988.6
708103608,Platinum,95,1/1/2023,Q1,15798,Chip ,Grocery,3791.52
708104658,Blue,455,1/1/2023,Q1,2928,Swipe ,Fuel,732
708108333,Blue,485,1/1/2023,Q1,1507,Swipe ,Entertainment,150.7
708112008,Blue,440,1/1/2023,Q1,1661,Swipe ,Grocery,465.08
708113208,Blue,300,1/1/2023,Q1,4375,Chip ,Fuel,525
708117933,Blue,360,1/1/2023,Q1,2469,Chip ,Bills,419.73
708119658,Blue,340,1/1/2023,Q1,2519,Swipe ,Bills,554.18
708121908,Blue,405,1/1/2023,Q1,2045,Swipe ,Grocery,265.85
708123033,Silver,355,1/1/2023,Q1,14511,Swipe ,Fuel,3047.31
708125733,Blue,220,1/1/2023,Q1,4311,Swipe ,Entertainment,1207.08
708128733,Blue,125,1/1/2023,Q1,5014,Swipe ,Entertainment,1303.64
708129933,Blue,350,1/1/2023,Q1,4210,Chip ,Entertainment,884.1
708132783,Blue,250,1/1/2023,Q1,3929,Swipe ,Food,785.8
708134283,Blue,125,1/1/2023,Q1,1483,Swipe ,Food,311.43
708136908,Blue,110,1/1/2023,Q1,4655,Swipe ,Entertainment,605.15
708139833,Blue,460,1/1/2023,Q1,2323,Swipe ,Grocery,441.37
708145908,Blue,320,1/1/2023,Q1,3999,Swipe ,Bills,959.76
708147108,Blue,320,1/1/2023,Q1,2309,Swipe ,Travel,277.08
708148158,Blue,175,1/1/2023,Q1,4207,Swipe ,Fuel,925.54
708151008,Blue,440,1/1/2023,Q1,2433,Swipe ,Fuel,486.6
708152358,Blue,335,1/1/2023,Q1,8019,Swipe ,Food,721.71
708153558,Blue,375,1/1/2023,Q1,7936,Swipe ,Fuel,634.88
708154833,Blue,250,1/1/2023,Q1,2336,Chip ,Fuel,630.72
708155733,Blue,335,1/1/2023,Q1,1289,Swipe ,Bills,296.47
708158133,Blue,110,1/1/2023,Q1,2188,Swipe ,Bills,350.08
708160008,Blue,375,1/1/2023,Q1,7412,Swipe ,Bills,1927.12
708161133,Blue,150,1/1/2023,Q1,3891,Swipe ,Fuel,466.92
708162558,Blue,420,1/1/2023,Q1,1355,Swipe ,Entertainment,189.7
708163758,Platinum,470,1/1/2023,Q1,13085,Swipe ,Bills,2355.3
708170508,Blue,250,1/1/2023,Q1,1651,Swipe ,Entertainment,462.28
708171858,Blue,100,1/1/2023,Q1,2607,Swipe ,Fuel,312.84
708173433,Blue,285,1/1/2023,Q1,2482,Swipe ,Food,496.4
708174708,Blue,175,1/1/2023,Q1,1764,Swipe ,Fuel,194.04
708176208,Blue,465,1/1/2023,Q1,4199,Swipe ,Food,587.86
708177333,Silver,460,1/1/2023,Q1,1158,Swipe ,Bills,243.18
